subject	frame	mean	roi	roicode
group	1	-0.976158516294643	1	1
group	2	23.4093814650298	1	1
group	3	26.7526005721726	1	1
group	4	5.97108102678571	1	1
group	5	-4.58390838095238	1	1
group	6	-6.04841774427083	1	1
group	7	-9.66091745014881	1	1
group	8	-9.96105775818452	1	1
group	9	-6.53644819136905	1	1
group	10	-5.39994564136905	1	1
group	11	-3.52996339494048	1	1
group	12	-5.3130455280506	1	1
group	13	-3.26943103379464	1	1
group	14	-1.31187164147321	1	1
group	15	0.767050340625	1	1
group	16	1.79119100297619	1	1
group	17	0.263312419791667	1	1
group	18	3.76131055488095	1	1
group	19	1.83169128653274	1	1
group	20	-1.11471400372024	1	1
group	21	0.246034055059524	1	1
group	22	-0.598282114955357	1	1
group	23	-2.19216387872024	1	1
group	24	0.144258845982143	1	1
group	25	-3.74164433292857	1	1
group	26	20.6861986272321	1	1
group	27	38.1370832514881	1	1
group	28	22.4759989947917	1	1
group	29	6.09025146852679	1	1
group	30	-2.57935517797619	1	1
group	31	-1.7648447828869	1	1
group	32	0.753603804315476	1	1
group	33	-4.12083686919643	1	1
group	1	-3.60655132978723	2	2
group	2	12.6318763671099	2	2
group	3	-3.12326955851064	2	2
group	4	-28.7696141968085	2	2
group	5	-36.3119103900709	2	2
group	6	-36.0198221134752	2	2
group	7	-38.4440493439716	2	2
group	8	-38.7990580567376	2	2
group	9	-36.4025123758865	2	2
group	10	-33.5762041134752	2	2
group	11	-29.5286789255319	2	2
group	12	-32.3756154964539	2	2
group	13	-28.6540532446809	2	2
group	14	-24.9897605319149	2	2
group	15	-22.3529144680851	2	2
group	16	-21.4175989787234	2	2
group	17	-23.316329679078	2	2
group	18	-19.6532925691489	2	2
group	19	-21.6241877801418	2	2
group	20	-25.4783247322695	2	2
group	21	-21.812974356383	2	2
group	22	-22.3402068971631	2	2
group	23	-25.8724853191489	2	2
group	24	-23.5622354042553	2	2
group	25	-27.740887464539	2	2
group	26	4.71140208865248	2	2
group	27	34.052904929078	2	2
group	28	21.9129449109929	2	2
group	29	6.95934229964539	2	2
group	30	1.9849372393617	2	2
group	31	3.95305968085106	2	2
group	32	6.61443884450355	2	2
group	33	-1.57680969893617	2	2
group	1	0.420934611376812	3	3
group	2	30.7817219836957	3	3
group	3	45.5345009076087	3	3
group	4	33.4868279347826	3	3
group	5	23.4719351658514	3	3
group	6	19.9496999085145	3	3
group	7	15.1751846186594	3	3
group	8	14.731944363587	3	3
group	9	17.4074030588768	3	3
group	10	17.5423684136775	3	3
group	11	18.0813215141304	3	3
group	12	17.9915240400362	3	3
group	13	18.1989106974638	3	3
group	14	18.2159966971014	3	3
group	15	18.5753107518116	3	3
group	16	20.3729859057971	3	3
group	17	19.5004351259058	3	3
group	18	21.9242498324275	3	3
group	19	20.3513780163043	3	3
group	20	18.1742152309783	3	3
group	21	18.6112277807971	3	3
group	22	17.071557138587	3	3
group	23	15.6735716956522	3	3
group	24	18.9695712128623	3	3
group	25	13.4645389092391	3	3
group	26	24.1896066875	3	3
group	27	30.5040989927536	3	3
group	28	18.0111050887681	3	3
group	29	4.1306834375	3	3
group	30	-3.67606728804348	3	3
group	31	-4.51171774456522	3	3
group	32	-3.29545656702899	3	3
group	33	-8.19481424836957	3	3
group	1	-0.113065583333333	4	4
group	2	11.9359802111111	4	4
group	3	18.4529867777778	4	4
group	4	4.49750957222222	4	4
group	5	0.812994902777778	4	4
group	6	1.20022374444444	4	4
group	7	0.0820288666666667	4	4
group	8	0.0979981822222222	4	4
group	9	1.77959595833333	4	4
group	10	4.08985365555556	4	4
group	11	4.06801524444444	4	4
group	12	3.61771005555556	4	4
group	13	6.48105934722222	4	4
group	14	10.5777146388889	4	4
group	15	11.1919	4	4
group	16	10.5648831388889	4	4
group	17	10.2035666480556	4	4
group	18	13.23601575	4	4
group	19	10.2004595916667	4	4
group	20	6.44490263888889	4	4
group	21	8.125623275	4	4
group	22	6.94074723583333	4	4
group	23	5.68916217222222	4	4
group	24	8.82254630833333	4	4
group	25	5.94390376666667	4	4
group	26	15.0144674166667	4	4
group	27	27.7430434444444	4	4
group	28	16.0830635	4	4
group	29	0.813826708333333	4	4
group	30	-5.5479445	4	4
group	31	-2.43001376111111	4	4
group	32	4.37516685833333	4	4
group	33	-2.01238045583333	4	4
group	1	2.46863924856322	5	5
group	2	13.726981433908	5	5
group	3	21.5590544137931	5	5
group	4	17.275518420977	5	5
group	5	13.3554397902299	5	5
group	6	13.0423438477011	5	5
group	7	12.2305692270115	5	5
group	8	11.9118239712644	5	5
group	9	13.6351340172414	5	5
group	10	15.3067857356322	5	5
group	11	14.9070413316092	5	5
group	12	15.4512108706897	5	5
group	13	15.9021017385057	5	5
group	14	16.9262538204023	5	5
group	15	15.6445521451149	5	5
group	16	16.1093872270115	5	5
group	17	15.2943580402299	5	5
group	18	15.5517955316092	5	5
group	19	14.5528455005747	5	5
group	20	11.3094895791667	5	5
group	21	13.1160596297414	5	5
group	22	12.1369735761494	5	5
group	23	11.4104830359195	5	5
group	24	13.9772624885057	5	5
group	25	5.46904509195402	5	5
group	26	0.068810983908046	5	5
group	27	3.6743847658046	5	5
group	28	3.32257698310345	5	5
group	29	-2.6481996158046	5	5
group	30	-5.45666902155172	5	5
group	31	-4.65379325574713	5	5
group	32	-1.90678829956897	5	5
group	33	-7.36005213074713	5	5
group	1	8.53667569444444	6	6
group	2	14.7136555952381	6	6
group	3	14.0549343253968	6	6
group	4	2.3990244047619	6	6
group	5	-3.47678848412698	6	6
group	6	-5.54650800793651	6	6
group	7	-3.41660107142857	6	6
group	8	-2.37126255555556	6	6
group	9	-0.501321079365079	6	6
group	10	-0.416437809523809	6	6
group	11	-0.295681515873016	6	6
group	12	-0.47652396031746	6	6
group	13	-2.30909813492063	6	6
group	14	-1.75108002777778	6	6
group	15	-3.312326325	6	6
group	16	-1.87177962698413	6	6
group	17	-3.97164595238095	6	6
group	18	-6.10790225	6	6
group	19	-7.98948199206349	6	6
group	20	-7.67253831349206	6	6
group	21	-5.53673301587302	6	6
group	22	-5.83922108730159	6	6
group	23	-4.9047684531746	6	6
group	24	-4.17050166666667	6	6
group	25	-14.5322274920635	6	6
group	26	-18.9446588619048	6	6
group	27	-10.3525866666667	6	6
group	28	-5.25023991269841	6	6
group	29	-6.28675753253968	6	6
group	30	-6.80763114285714	6	6
group	31	-8.99679324603175	6	6
group	32	-6.97542788849206	6	6
group	33	-7.65227146031746	6	6
