subject	frame	mean	roi	roicode
group	23	-23.5112756180556	3	3
group	24	-21.1763329875	3	3
group	25	-24.7997871805556	3	3
group	26	-19.3508055777778	3	3
group	27	-7.44205905180556	3	3
group	28	0.717151763888889	3	3
group	29	3.38942670555556	3	3
group	30	3.24060436111111	3	3
group	31	2.1811146375	3	3
group	32	1.16698367819444	3	3
group	33	-2.05209227777778	3	3
group	1	1.07980056993007	4	4
group	2	25.8460391790385	4	4
group	3	39.2184104481352	4	4
group	4	28.860702652331	4	4
group	5	21.4482411206294	4	4
group	6	20.2434831916667	4	4
group	7	17.3277015530303	4	4
group	8	16.0010339219114	4	4
group	9	18.5883326079254	4	4
group	10	19.6427262821678	4	4
group	11	20.2823841634615	4	4
group	12	19.6529228474009	4	4
group	13	19.8177880198135	4	4
group	14	20.5864144842657	4	4
group	15	20.5037644026807	4	4
group	16	21.2951144702797	4	4
group	17	20.3473840215618	4	4
group	18	22.6064165664336	4	4
group	19	20.9422195518648	4	4
group	20	18.5750266818182	4	4
group	21	20.2051602501748	4	4
group	22	18.8734531888112	4	4
group	23	17.177835784965	4	4
group	24	19.3514990955711	4	4
group	25	19.0927606878205	4	4
group	26	14.8976666590909	4	4
group	27	5.72942429102564	4	4
group	28	-0.551809147435897	4	4
group	29	-2.60950138152681	4	4
group	30	-2.49492864201632	4	4
group	31	-1.67892631526807	4	4
group	32	-0.898524884965035	4	4
group	33	-8.17175679079254	4	4
group	1	0.151309387931034	5	5
group	2	9.51189451149425	5	5
group	3	15.3831373761494	5	5
group	4	4.27462501436782	5	5
group	5	0.672829597701149	5	5
group	6	2.29389197413793	5	5
group	7	2.02192373850575	5	5
group	8	0.966299913793103	5	5
group	9	2.23179974137931	5	5
group	10	5.81787687643678	5	5
group	11	6.36713731321839	5	5
group	12	4.9212277612069	5	5
group	13	6.99708689655172	5	5
group	14	11.4555307471264	5	5
group	15	11.5376476867816	5	5
group	16	10.7622910632184	5	5
group	17	10.1601664109195	5	5
group	18	12.1310037068966	5	5
group	19	9.40680911206896	5	5
group	20	5.79593709770115	5	5
group	21	7.60047862356322	5	5
group	22	6.54783901149425	5	5
group	23	5.18879744252874	5	5
group	24	7.86708935632184	5	5
group	25	6.06472038505747	5	5
group	26	4.73216834482759	5	5
group	27	1.81993118965517	5	5
group	28	-0.175212479885057	5	5
group	29	-0.828896413793103	5	5
group	30	-0.792527040229885	5	5
group	31	-0.533269276724138	5	5
group	32	-0.285421608908046	5	5
group	33	-3.38315352873563	5	5
group	1	7.24995270833333	6	6
group	2	11.3515305555556	6	6
group	3	8.48628972222222	6	6
group	4	-5.33046247916667	6	6
group	5	-10.1881796111111	6	6
group	6	-10.6444723611111	6	6
group	7	-9.533958875	6	6
group	8	-9.12470192361111	6	6
